image_name,breed,species,width,height,total_pixels,fg_pixels,boundary_pixels,bg_pixels,fg_pct,boundary_pct,bg_pct
saint_bernard_124,saint_bernard,dog,500,375,187500,46611,112909,27980,24.86,60.22,14.92
saint_bernard_125,saint_bernard,dog,392,500,196000,60086,103956,31958,30.66,53.04,16.31
saint_bernard_129,saint_bernard,dog,500,375,187500,4447,179860,3193,2.37,95.93,1.7
saint_bernard_13,saint_bernard,dog,500,375,187500,41815,121880,23805,22.3,65.0,12.7
saint_bernard_140,saint_bernard,dog,450,500,225000,69322,141576,14102,30.81,62.92,6.27
saint_bernard_161,saint_bernard,dog,375,500,187500,39601,131963,15936,21.12,70.38,8.5
saint_bernard_162,saint_bernard,dog,375,500,187500,59335,100603,27562,31.65,53.65,14.7
saint_bernard_171,saint_bernard,dog,500,462,231000,64975,140989,25036,28.13,61.03,10.84
samoyed_108,samoyed,dog,333,500,166500,49944,87417,29139,30.0,52.5,17.5
samoyed_11,samoyed,dog,325,500,162500,51342,79721,31437,31.6,49.06,19.35
samoyed_114,samoyed,dog,500,375,187500,24983,146181,16336,13.32,77.96,8.71
samoyed_12,samoyed,dog,375,500,187500,69096,89588,28816,36.85,47.78,15.37
samoyed_14,samoyed,dog,500,357,178500,52953,96785,28762,29.67,54.22,16.11
samoyed_144,samoyed,dog,500,375,187500,22223,152268,13009,11.85,81.21,6.94
samoyed_151,samoyed,dog,500,335,167500,50776,102006,14718,30.31,60.9,8.79
samoyed_160,samoyed,dog,500,333,166500,26834,126311,13355,16.12,75.86,8.02
samoyed_167,samoyed,dog,500,335,167500,39828,96637,31035,23.78,57.69,18.53
samoyed_169,samoyed,dog,500,333,166500,75953,74358,16189,45.62,44.66,9.72
scottish_terrier_10,scottish_terrier,dog,500,335,167500,17827,139294,10379,10.64,83.16,6.2
scottish_terrier_104,scottish_terrier,dog,480,360,172800,10609,152723,9468,6.14,88.38,5.48
scottish_terrier_109,scottish_terrier,dog,500,375,187500,10559,171304,5637,5.63,91.36,3.01
scottish_terrier_114,scottish_terrier,dog,391,500,195500,87174,73956,34370,44.59,37.83,17.58
scottish_terrier_126,scottish_terrier,dog,500,375,187500,31269,131638,24593,16.68,70.21,13.12
scottish_terrier_136,scottish_terrier,dog,413,500,206500,80676,94238,31586,39.07,45.64,15.3
scottish_terrier_138,scottish_terrier,dog,500,375,187500,66523,100359,20618,35.48,53.52,11.0
scottish_terrier_147,scottish_terrier,dog,500,375,187500,28488,135198,23814,15.19,72.11,12.7
scottish_terrier_163,scottish_terrier,dog,500,363,181500,43944,115738,21818,24.21,63.77,12.02
scottish_terrier_166,scottish_terrier,dog,500,333,166500,40789,109920,15791,24.5,66.02,9.48
shiba_inu_118,shiba_inu,dog,371,500,185500,24684,142510,18306,13.31,76.82,9.87
shiba_inu_126,shiba_inu,dog,500,332,166000,15954,132395,17651,9.61,79.76,10.63
shiba_inu_136,shiba_inu,dog,500,375,187500,17473,148683,21344,9.32,79.3,11.38
shiba_inu_146,shiba_inu,dog,500,375,187500,19037,155317,13146,10.15,82.84,7.01
shiba_inu_147,shiba_inu,dog,375,500,187500,66876,90850,29774,35.67,48.45,15.88
shiba_inu_155,shiba_inu,dog,500,335,167500,36852,122039,8609,22.0,72.86,5.14
shiba_inu_159,shiba_inu,dog,500,333,166500,111864,37121,17515,67.19,22.29,10.52
shiba_inu_16,shiba_inu,dog,333,500,166500,81853,64194,20453,49.16,38.55,12.28
shiba_inu_162,shiba_inu,dog,500,335,167500,15831,144284,7385,9.45,86.14,4.41
shiba_inu_172,shiba_inu,dog,500,365,182500,65241,93534,23725,35.75,51.25,13.0
staffordshire_bull_terrier_100,staffordshire_bull_terrier,dog,412,500,206000,30918,146822,28260,15.01,71.27,13.72
staffordshire_bull_terrier_103,staffordshire_bull_terrier,dog,360,480,172800,92062,55905,24833,53.28,32.35,14.37
staffordshire_bull_terrier_115,staffordshire_bull_terrier,dog,500,375,187500,56991,106960,23549,30.4,57.05,12.56
staffordshire_bull_terrier_116,staffordshire_bull_terrier,dog,500,375,187500,47796,123119,16585,25.49,65.66,8.85
staffordshire_bull_terrier_131,staffordshire_bull_terrier,dog,474,500,237000,77027,134128,25845,32.5,56.59,10.91
staffordshire_bull_terrier_135,staffordshire_bull_terrier,dog,500,375,187500,13814,163652,10034,7.37,87.28,5.35
staffordshire_bull_terrier_137,staffordshire_bull_terrier,dog,500,375,187500,84526,77148,25826,45.08,41.15,13.77
staffordshire_bull_terrier_149,staffordshire_bull_terrier,dog,500,375,187500,46219,118463,22818,24.65,63.18,12.17
staffordshire_bull_terrier_158,staffordshire_bull_terrier,dog,500,375,187500,59320,109536,18644,31.64,58.42,9.94
staffordshire_bull_terrier_159,staffordshire_bull_terrier,dog,500,375,187500,80033,84500,22967,42.68,45.07,12.25
wheaten_terrier_11,wheaten_terrier,dog,500,333,166500,41465,103018,22017,24.9,61.87,13.22
wheaten_terrier_110,wheaten_terrier,dog,333,500,166500,97924,40736,27840,58.81,24.47,16.72
wheaten_terrier_111,wheaten_terrier,dog,500,375,187500,33028,134601,19871,17.61,71.79,10.6
wheaten_terrier_140,wheaten_terrier,dog,500,375,187500,86685,81699,19116,46.23,43.57,10.2
wheaten_terrier_143,wheaten_terrier,dog,375,500,187500,38171,132934,16395,20.36,70.9,8.74
wheaten_terrier_159,wheaten_terrier,dog,500,375,187500,49165,116607,21728,26.22,62.19,11.59
wheaten_terrier_162,wheaten_terrier,dog,500,375,187500,27509,146282,13709,14.67,78.02,7.31
wheaten_terrier_167,wheaten_terrier,dog,500,375,187500,101808,62554,23138,54.3,33.36,12.34
wheaten_terrier_169,wheaten_terrier,dog,500,330,165000,32031,113060,19909,19.41,68.52,12.07
wheaten_terrier_171,wheaten_terrier,dog,500,330,165000,78899,65489,20612,47.82,39.69,12.49
yorkshire_terrier_100,yorkshire_terrier,dog,500,375,187500,71971,85871,29658,38.38,45.8,15.82
yorkshire_terrier_110,yorkshire_terrier,dog,378,500,189000,38703,125628,24669,20.48,66.47,13.05
yorkshire_terrier_113,yorkshire_terrier,dog,237,237,56169,11440,37549,7180,20.37,66.85,12.78
yorkshire_terrier_118,yorkshire_terrier,dog,240,300,72000,29850,32109,10041,41.46,44.6,13.95
yorkshire_terrier_142,yorkshire_terrier,dog,300,225,67500,16832,44048,6620,24.94,65.26,9.81
yorkshire_terrier_146,yorkshire_terrier,dog,300,225,67500,10127,52574,4799,15.0,77.89,7.11
yorkshire_terrier_147,yorkshire_terrier,dog,225,300,67500,22232,33183,12085,32.94,49.16,17.9
yorkshire_terrier_158,yorkshire_terrier,dog,300,225,67500,23183,33460,10857,34.35,49.57,16.08
yorkshire_terrier_168,yorkshire_terrier,dog,397,500,198500,42939,140831,14730,21.63,70.95,7.42
yorkshire_terrier_171,yorkshire_terrier,dog,500,375,187500,31111,148968,7421,16.59,79.45,3.96
